,precision,recall,f1-score,support
0,0.875,0.9180327868852459,0.896,122.0
1,0.8611111111111112,0.7948717948717948,0.8266666666666667,78.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.8680555555555556,0.8564522908785204,0.8613333333333333,200.0
weighted avg,0.8695833333333334,0.87,0.86896,200.0
