,precision,recall,f1-score,support
0,1.0,0.9803921568627451,0.9900990099009901,102.0
1,0.9878048780487805,1.0,0.9938650306748467,162.0
accuracy,0.9924242424242424,0.9924242424242424,0.9924242424242424,0.9924242424242424
macro avg,0.9939024390243902,0.9901960784313726,0.9919820202879184,264.0
weighted avg,0.9925166297117516,0.9924242424242424,0.9924099771940383,264.0
