,precision,recall,f1-score,support
0,0.7326732673267327,0.7254901960784313,0.729064039408867,102.0
1,0.8282208588957055,0.8333333333333334,0.8307692307692308,162.0
accuracy,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
macro avg,0.780447063111219,0.7794117647058824,0.779916635089049,264.0
weighted avg,0.7913047439713295,0.7916666666666666,0.7914740431981812,264.0
